EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3490365,Snow,Moderate,1/27/22 18:53,1/27/22 19:07,0.05,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490366,Snow,Light,1/27/22 19:07,1/27/22 20:09,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490367,Snow,Light,2/1/22 22:53,2/2/22 23:46,0.32,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490368,Fog,Severe,2/2/22 23:46,2/2/22 23:57,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490369,Snow,Light,2/2/22 23:57,2/3/22 1:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490370,Snow,Light,2/3/22 3:25,2/3/22 5:34,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490371,Cold,Severe,2/3/22 11:53,2/3/22 12:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490372,Snow,Light,2/10/22 3:49,2/10/22 4:07,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490373,Snow,Light,2/10/22 4:53,2/10/22 5:40,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490374,Snow,Light,2/11/22 19:46,2/11/22 21:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490375,Snow,Moderate,2/11/22 21:53,2/11/22 23:10,0.24,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490376,Snow,Light,2/11/22 23:10,2/12/22 1:45,0.08,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490377,Snow,Moderate,2/12/22 1:45,2/12/22 2:00,0.11,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490378,Snow,Light,2/12/22 2:00,2/12/22 4:21,0.1,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490379,Snow,Light,2/12/22 5:01,2/12/22 5:37,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490380,Snow,Light,2/12/22 6:41,2/12/22 6:49,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490381,Snow,Light,2/16/22 21:11,2/16/22 22:15,0.01,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490382,Fog,Severe,2/16/22 22:15,2/16/22 22:29,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490383,Snow,Light,2/16/22 22:29,2/16/22 23:53,0.04,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490384,Snow,Moderate,2/16/22 23:53,2/17/22 0:45,0.06,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490385,Snow,Heavy,2/17/22 0:45,2/17/22 1:24,0.14,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490386,Snow,Light,2/17/22 1:24,2/17/22 1:41,0.04,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490387,Snow,Moderate,2/17/22 1:41,2/17/22 3:14,0.1,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490388,Snow,Light,2/17/22 3:14,2/17/22 7:30,0.12,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490389,Snow,Moderate,2/17/22 7:30,2/17/22 8:53,0.06,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490390,Snow,Light,2/17/22 8:53,2/17/22 12:30,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490391,Snow,Light,2/17/22 15:42,2/17/22 16:23,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490392,Snow,Light,2/21/22 22:11,2/22/22 13:43,0.05,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490393,Snow,Light,2/22/22 16:42,2/22/22 18:53,0.01,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490394,Snow,Light,2/22/22 19:58,2/22/22 20:23,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
