,EventId,Type,Severity,StartTime(UTC),Precipitation(in),AirportCode,LocationLat,LocationLng,City,County,State
1352503,W-1426809,Rain,Moderate,2016-03-08 16:14:00,0.18,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352504,W-1426810,Fog,Severe,2016-03-08 16:22:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352505,W-1426811,Rain,Heavy,2016-03-08 16:26:00,1.07,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352506,W-1426812,Rain,Light,2016-03-08 17:16:00,0.1,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352507,W-1426813,Rain,Moderate,2016-03-08 17:32:00,0.46,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352508,W-1426814,Rain,Light,2016-03-08 18:01:00,0.37,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352509,W-1426815,Rain,Light,2016-03-09 06:53:00,0.08,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352510,W-1426816,Rain,Moderate,2016-03-09 07:47:00,0.22,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352511,W-1426817,Rain,Light,2016-03-09 08:02:00,0.15,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352512,W-1426818,Rain,Moderate,2016-03-09 09:28:00,1.35,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352513,W-1426819,Rain,Light,2016-03-09 11:03:00,0.12,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352514,W-1426820,Rain,Moderate,2016-03-09 11:34:00,0.33,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352515,W-1426821,Rain,Light,2016-03-09 12:53:00,0.13,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352516,W-1426822,Rain,Light,2016-03-09 18:53:00,0.19,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352517,W-1426823,Rain,Light,2016-03-09 21:50:00,0.02,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352518,W-1426824,Rain,Light,2016-03-10 03:01:00,0.1,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352519,W-1426825,Rain,Light,2016-03-10 08:19:00,0.35,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352520,W-1426826,Rain,Moderate,2016-03-10 11:53:00,0.11,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352521,W-1426827,Rain,Light,2016-03-10 11:56:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352522,W-1426828,Rain,Light,2016-03-10 14:53:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352523,W-1426829,Rain,Light,2016-03-10 16:22:00,0.15,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352524,W-1426830,Rain,Light,2016-03-10 20:13:00,0.05,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352525,W-1426831,Rain,Light,2016-03-11 02:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352526,W-1426832,Rain,Light,2016-03-11 05:53:00,0.02,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352527,W-1426833,Rain,Light,2016-03-11 08:41:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352528,W-1426834,Rain,Light,2016-03-11 10:49:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352529,W-1426835,Rain,Light,2016-03-11 16:45:00,0.06,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352530,W-1426836,Rain,Moderate,2016-03-11 16:53:00,0.13,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352531,W-1426837,Rain,Light,2016-03-11 16:59:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352532,W-1426838,Rain,Light,2016-03-11 19:11:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352533,W-1426839,Rain,Light,2016-03-11 23:38:00,0.04,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352534,W-1426840,Fog,Severe,2016-03-12 04:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352535,W-1426841,Rain,Light,2016-03-12 08:41:00,0.11,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352536,W-1426842,Rain,Light,2016-03-12 09:31:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352537,W-1426843,Rain,Light,2016-03-12 13:06:00,0.05,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352538,W-1426844,Rain,Light,2016-03-12 20:53:00,0.04,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352539,W-1426845,Rain,Light,2016-03-17 11:02:00,0.06,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352540,W-1426846,Rain,Light,2016-03-17 13:53:00,0.23,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352541,W-1426847,Fog,Moderate,2016-03-18 20:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352542,W-1426848,Rain,Light,2016-03-19 00:11:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352543,W-1426849,Rain,Light,2016-03-24 04:34:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352544,W-1426850,Rain,Moderate,2016-03-24 04:53:00,0.3,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352545,W-1426851,Fog,Severe,2016-03-24 05:01:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352546,W-1426852,Rain,Heavy,2016-03-24 05:04:00,2.07,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352547,W-1426853,Rain,Light,2016-03-24 06:25:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352548,W-1426854,Rain,Light,2016-03-30 13:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352549,W-1426855,Rain,Light,2016-03-30 15:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352550,W-1426856,Rain,Light,2016-03-30 23:53:00,0.04,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352551,W-1426857,Rain,Moderate,2016-03-31 00:39:00,0.34,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352552,W-1426858,Rain,Light,2016-03-31 01:45:00,0.15,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352553,W-1426859,Rain,Light,2016-04-09 20:53:00,0.07,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352554,W-1426860,Rain,Light,2016-04-09 23:53:00,0.04,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352555,W-1426861,Rain,Light,2016-04-13 05:53:00,0.04,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352556,W-1426862,Rain,Light,2016-04-13 08:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352557,W-1426863,Rain,Light,2016-04-13 15:27:00,0.09,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352558,W-1426864,Rain,Light,2016-04-14 04:09:00,0.03,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352559,W-1426865,Fog,Severe,2016-04-15 11:43:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352560,W-1426866,Rain,Light,2016-04-17 13:27:00,0.12,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352561,W-1426867,Fog,Severe,2016-04-17 14:17:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352562,W-1426868,Rain,Heavy,2016-04-17 14:46:00,1.36,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352563,W-1426869,Rain,Moderate,2016-04-17 15:08:00,0.16,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352564,W-1426870,Fog,Severe,2016-04-17 15:19:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352565,W-1426871,Rain,Heavy,2016-04-17 15:24:00,1.89,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352566,W-1426872,Rain,Light,2016-04-17 16:15:00,0.08,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352567,W-1426873,Rain,Moderate,2016-04-17 16:36:00,0.3,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352568,W-1426874,Rain,Light,2016-04-17 17:06:00,0.21,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352569,W-1426875,Rain,Moderate,2016-04-17 17:38:00,0.25,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352570,W-1426876,Rain,Light,2016-04-17 18:25:00,0.07,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352571,W-1426877,Rain,Moderate,2016-04-17 18:39:00,0.24,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352572,W-1426878,Rain,Light,2016-04-17 19:18:00,0.51,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352573,W-1426879,Rain,Light,2016-04-18 01:26:00,0.03,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352574,W-1426880,Rain,Light,2016-04-18 02:23:00,0.12,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352575,W-1426881,Rain,Light,2016-04-18 06:33:00,0.09,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352576,W-1426882,Rain,Moderate,2016-04-18 06:53:00,0.14,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352577,W-1426883,Fog,Severe,2016-04-18 07:02:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352578,W-1426884,Rain,Heavy,2016-04-18 07:16:00,4.52,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
