,EventId,Type,Severity,StartTime(UTC),Precipitation(in),AirportCode,LocationLat,LocationLng,City,County,State
3828638,W-4038984,Fog,Severe,2016-03-08 14:45:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828639,W-4038985,Rain,Heavy,2016-03-08 14:53:00,0.41,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828640,W-4038986,Rain,Moderate,2016-03-08 14:59:00,0.74,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828641,W-4038987,Rain,Light,2016-03-08 16:38:00,0.07,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828642,W-4038988,Rain,Moderate,2016-03-08 16:53:00,0.1,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828643,W-4038989,Rain,Light,2016-03-08 16:58:00,0.1,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828644,W-4038990,Rain,Moderate,2016-03-08 17:44:00,0.31,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828645,W-4038991,Rain,Light,2016-03-08 18:14:00,0.02,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828646,W-4038992,Rain,Light,2016-03-09 07:20:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828647,W-4038993,Rain,Light,2016-03-09 09:15:00,0.05,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828648,W-4038994,Rain,Moderate,2016-03-09 10:21:00,0.38,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828649,W-4038995,Rain,Light,2016-03-09 12:03:00,0.18,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828650,W-4038996,Rain,Light,2016-03-09 19:53:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828651,W-4038997,Rain,Light,2016-03-10 01:53:00,0.09,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828652,W-4038998,Rain,Light,2016-03-10 08:53:00,0.13,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828653,W-4038999,Rain,Light,2016-03-10 11:14:00,0.09,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828654,W-4039000,Rain,Light,2016-03-10 12:53:00,0.03,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828655,W-4039001,Rain,Light,2016-03-10 14:53:00,0.1,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828656,W-4039002,Rain,Light,2016-03-10 20:53:00,0.09,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828657,W-4039003,Rain,Light,2016-03-11 07:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828658,W-4039004,Rain,Light,2016-03-11 13:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828659,W-4039005,Rain,Light,2016-03-11 15:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828660,W-4039006,Rain,Light,2016-03-11 17:22:00,0.04,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828661,W-4039007,Rain,Light,2016-03-11 18:42:00,0.02,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828662,W-4039008,Rain,Light,2016-03-12 03:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828663,W-4039009,Rain,Light,2016-03-12 05:42:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828664,W-4039010,Rain,Light,2016-03-12 06:53:00,0.02,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828665,W-4039011,Rain,Light,2016-03-12 09:05:00,0.1,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828666,W-4039012,Rain,Light,2016-03-12 14:35:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828667,W-4039013,Rain,Light,2016-03-12 21:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828668,W-4039014,Rain,Light,2016-03-17 10:36:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828669,W-4039015,Rain,Light,2016-03-17 12:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828670,W-4039016,Rain,Light,2016-03-18 15:34:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828671,W-4039017,Fog,Moderate,2016-03-18 20:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828672,W-4039018,Rain,Light,2016-03-24 02:45:00,0.08,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828673,W-4039019,Rain,Moderate,2016-03-24 04:14:00,0.31,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828674,W-4039020,Rain,Heavy,2016-03-24 04:29:00,0.74,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828675,W-4039021,Rain,Light,2016-03-30 08:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828676,W-4039022,Rain,Light,2016-03-30 12:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828677,W-4039023,Rain,Light,2016-03-30 15:15:00,0.12,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828678,W-4039024,Rain,Moderate,2016-03-30 15:53:00,0.15,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828679,W-4039025,Rain,Light,2016-03-30 16:01:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828680,W-4039026,Rain,Light,2016-03-30 22:53:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828681,W-4039027,Rain,Light,2016-04-01 17:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828682,W-4039028,Rain,Light,2016-04-09 19:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828683,W-4039029,Rain,Light,2016-04-09 23:53:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828684,W-4039030,Rain,Light,2016-04-11 13:42:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828685,W-4039031,Rain,Light,2016-04-11 14:53:00,0.04,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828686,W-4039032,Rain,Light,2016-04-11 19:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
